"QUARTER","ORIGIN","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_STATE_ABR","AIRPORT_GROUP","OP_CARRIER_GROUP","PASSENGERS","MARKET_FARE","MARKET_DISTANCE","ITIN_GEO_TYPE","numLayovers"
3,"JFK","NY",14730,"KY","JFK:CLT:SDF","AA:OH",2,221.5,876,2,1
3,"LGA","NY",15401,"AR","LGA:DFW:TXK","AA:MQ",1,296.5,1570,2,1
3,"MIA","FL",12478,"NY","MIA:JFK","AA",4,120,1089,2,0
3,"LGA","NY",11259,"TX","LGA:DAL","OO",2,157,1381,2,0
3,"SAT","TX",10792,"NY","SAT:BWI:BUF","WN:WN",1,216.29,1688,2,1
3,"LGA","NY",11298,"TX","LGA:DFW","YX",2,182,1389,2,0
3,"JFK","NY",14492,"NC","JFK:RDU","MQ",1,153,427,2,0
3,"ATL","GA",12953,"NY","ATL:LGA","DL",1,144.6,762,2,0
3,"LGA","NY",13342,"WI","LGA:CVG:MKE","9E:OO",1,150.78,903,2,1
3,"PDX","OR",12478,"NY","PDX:JFK","DL",1,203.61,2454,2,0
3,"JFK","NY",10792,"NY","JFK:BUF","B6",4,107.5,301,2,0
3,"LGA","NY",12339,"IN","LGA:DTW:IND","DL:G7",1,341.51,733,2,1
3,"GRR","MI",12953,"NY","GRR:DTW:LGA","DL:DL",1,207,622,2,1
3,"RSW","FL",12953,"NY","RSW:BOS:LGA","B6:B6",1,189,1433,2,1
3,"JFK","NY",14107,"AZ","JFK:PHX","B6",2,133,2153,2,0
3,"ROC","NY",14057,"OR","ROC:ORD:PDX","MQ:AA",1,293.5,2267,2,1
3,"LGA","NY",11996,"SC","LGA:GSP","9E",1,151.12,610,2,0
3,"COS","CO",12953,"NY","COS:DEN:LGA","OO:UA",1,411,1693,2,1
3,"BNA","TN",12953,"NY","BNA:LGA","YX",1,148.5,764,2,0
3,"MCO","FL",15096,"NY","MCO:SYR","B6",1,158.48,1053,2,0
3,"HPN","NY",13930,"IL","HPN:ORD","EV",2,484.5,738,2,0
3,"ORD","IL",12478,"NY","ORD:JFK","9E",1,199,740,2,0
3,"CVG","KY",12953,"NY","CVG:LGA","MQ",1,91.86,585,2,0
3,"JFK","NY",12954,"CA","JFK:LGB","B6",1,515,2465,2,0
3,"LGA","NY",10397,"GA","LGA:ORD:ATL","YX:DL",1,534.07,1339,2,1
3,"JFK","NY",10140,"NM","JFK:ABQ","B6",2,203.5,1826,2,0
3,"LGA","NY",10994,"SC","LGA:CHS","9E",1,126.49,641,2,0
3,"MKE","WI",12953,"NY","MKE:ORD:LGA","--:YX",1,349.31,800,2,1
3,"MLI","IL",12953,"NY","MLI:ORD:LGA","OO:AA",1,316.5,872,2,1
3,"DEN","CO",12953,"NY","DEN:LGA","NK",1,117.5,1620,2,0
3,"DCA","VA",12197,"NY","DCA:HPN","OH",1,147,234,2,0
3,"JFK","NY",14771,"CA","JFK:SFO","DL",1,473.5,2586,2,0
3,"BUF","NY",12448,"MS","BUF:ATL:JAN","DL:DL",1,346.5,1053,2,1
3,"LGA","NY",13930,"IL","LGA:ORD","YX",3,190.5,733,2,0
4,"LGA","NY",13930,"IL","LGA:ORD","YX",45,93,733,2,0
4,"JFK","NY",12892,"CA","JFK:LAX","B6",1,228.99,2475,2,0
4,"SAT","TX",12953,"NY","SAT:EWR:LGA","UA:--",1,152.07,1586,2,1
4,"JFK","NY",10397,"GA","JFK:ATL","DL",1,118.45,760,2,0
4,"PBG","NY",14761,"FL","PBG:SFB","G4",1,263.5,1175,2,0
4,"SFO","CA",12953,"NY","SFO:PHX:ORD:LGA","AA:AA:AA",1,360,2824,2,2
4,"BOS","MA",12953,"NY","BOS:LGA","YX",1,143,184,2,0
4,"SAV","GA",14576,"NY","SAV:ATL:ROC","DL:DL",1,155,963,2,1
4,"BUF","NY",13204,"FL","BUF:JFK:MCO","9E:DL",1,163.47,1245,2,1
4,"LAS","NV",10257,"NY","LAS:ALB","WN",1,208,2237,2,0
4,"LGA","NY",10397,"GA","LGA:ATL","DL",11,128,762,2,0
4,"JFK","NY",14027,"FL","JFK:CLT:PBI","AA:AA",1,161.5,1131,2,1
4,"DAL","TX",12953,"NY","DAL:MCI:LGA","WN:WN",1,463,1567,2,1
4,"LGA","NY",11697,"FL","LGA:FLL","DL",2,408.5,1076,2,0
